TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2009-11-14 12:00:00;N;B;32;22;43;22;90;6.6;118.0;315;3;0.0;11;18;26.95221238938053;0;0;2;315;2;315
2009-11-15 09:18:00;A;B;39;6;44;3;90;0;118.0;45;3;0.0;20;18;28.492610837438427;0;0;2;45;0;0
2009-12-19 11:42:00;A;B;23;54;37;5;270;9.25;105.0;90;3;0.0;23;42;10.906329113924052;0.1;0;2;90;0;0
2010-02-04 12:00:00;N;L;24;44;37;32;22;10.55;117.9;315;5;0.0;23;0;31.31478260869565;0;0;4;315;5;315
2010-01-06 12:00:00;N;L;29;44;41;11;247;9.41;115.3;180;5;0.0;7;7;32.711943793911004;0;0;4;180;4;180
2010-01-07 12:00:00;N;L;29;33;41;28;0;9.4;0.0;225;5;0.0;0;0;1.37;0;0;4;225;4;225
2009-12-13 12:00:00;N;L;32;46;42;53;247;9.4;118.0;67;7;0.0;16;42;28.71377245508982;0;0;6;45;4;45
2009-12-14 12:00:00;N;L;29;30;41;6;247;9.4;118.0;67;3;0.0;13;7;37.89377382465057;0;0;2;45;3;0
2010-03-05 12:00:00;N;B;31;56;41;28;90;6.6;115.5;270;4;0.0;7;18;40.24109589041096;1.8;0;4;270;3;270
2010-03-06 12:00:00;N;B;38;56;43;46;67;6.6;116.6;180;5;0.0;23;0;23.092173913043478;1.8;0;5;180;4;180
2010-03-06 13:00:00;A;B;39;6;44;3;0;6.7;116.0;180;5;0.0;1;0;33.839999999999996;1.8;0;5;180;4;180
2009-12-15 12:00:00;N;L;27;35;40;5;225;9.4;118.0;90;4;0.0;6;30;32.71384615384615;0;0;3;90;3;67
2009-11-11 12:00:00;N;L;29;17;42;8;0;52.8;118.0;225;3;0.0;4;30;38.986666666666665;86.4;0;2;225;2;225
2010-01-15 12:00:00;N;B;16;44;35;4;270;6.4;114.5;270;7;0.0;25;0;28.991999999999997;1.8;0;6;270;6;270
2009-11-11 19:48:00;A;B;28;5;44;50;0;9.6;118.0;225;4;14.62;7;48;31.384615384615383;0;0;3;225;3;225
2009-11-27 12:00:00;N;L;25;40;34;19;90;8.8;118.0;270;3;0.0;23;0;29.73913043478261;0;0;2;270;2;270
2009-11-28 12:00:00;N;L;32;29;35;28;90;8.8;118.0;225;2;0.0;24;0;29.73;0;0;2;202;2;202
2010-02-04 22:06:00;A;L;26;50;38;57;22;10.55;117.9;22;5;0.0;10;6;30.96237623762376;0;0;4;22;4;0
2010-02-22 12:00:00;N;L;29;13;33;36;292;8.47;116.9;315;6;0.0;18;42;30.54545454545455;0;0;6;315;5;315
2009-11-29 01:30:00;A;B;36;35;36;10;67;0;118.0;202;2;0.0;13;30;30.13333333333333;0;0;2;202;1;202
2009-10-21 15:00:00;A;B;5;3;36;17;0;6.675;105.6;247;4;14.67;3;0;21.76;2.05;0;3;247;2;225
2009-10-22 12:00:00;N;B;5;0;36;16;90;6.775;118.0;225;7;14.0;0;30;24.0;2.35;0;6;225;6;225
2010-02-23 12:00:00;N;L;23;16;35;12;315;8.47;118.1;225;5;0.0;24;0;29.99;0;0;4;225;4;225
2010-01-15 17:00:00;A;B;14;1;36;24;270;6.6;117.8;270;3;0.0;5;0;37.968;2.2;0;3;270;3;270
2009-11-17 12:00:00;N;L;32;11;42;12;270;8.9;118.1;315;4;0.0;22;36;31.486725663716808;0;0;3;315;3;315
2009-11-18 12:00:00;N;L;28;17;41;59;270;8.9;118.0;45;1;0.0;24;0;14.12;0;0;0;0;0;0
2010-01-09 12:00:00;N;L;25;30;37;50;180;9.4;117.1;135;8;0.0;12;4;36.75580110497238;0;0;7;135;7;135
2009-10-23 12:00:00;N;B;1;0;37;54;90;6.775;118.0;0;5;14.63;24;0;28.0;2.35;0;4;0;4;0
2010-01-08 12:00:00;N;B;27;34;40;3;202;9.4;118.0;67;4;0.0;6;1;40.68698060941828;0;0;3;45;3;67
2009-12-16 12:00:00;N;L;24;37;37;10;225;9.4;118.0;0;4;0.0;12;12;39.52131147540984;0;0;3;0;3;45
2009-12-17 12:00:00;N;L;23;26;36;57;0;9.4;118.0;315;5;0.0;2;30;103.104;0;0;4;315;4;315
2009-12-18 12:00:00;N;L;23;17;36;26;0;9.4;85.0;247;8;0.0;24;0;6.44;0;0;7;225;7;225
2010-02-26 12:00:00;N;L;15;8;43;6;315;7.6;116.3;135;5;0.0;13;30;29.795555555555556;0;0;4;135;3;180
2010-06-14 12:00:00;N;B;15;0;36;21;22;8.32;115.9;315;3;0.0;15;36;29.93846153846154;0;0;2;315;2;315
2010-05-06 12:00:00;N;L;10;6;34;29;67;7.8;113.6;315;3;0.0;1;30;28.0;0;0;3;315;2;315
2010-05-07 10:48:00;A;B;10;49;36;17;247;7.8;118.3;135;3;0.0;22;48;30.936842105263157;0;0;2;135;2;135
2010-06-15 11:48:00;A;L;17;39;40;56;157;8.32;119.0;135;3;0.0;23;48;30.45378151260504;0;0;2;135;0;135
2010-05-17 21:36:00;A;B;11;31;33;5;202;7;118.0;90;3;0.0;9;36;32.00000000000001;0;0;2;90;2;90
2010-03-11 12:00:00;N;L;37;42;43;53;247;9.5;116.9;112;4;0.0;3;54;26.769230769230766;0;0;4;112;3;135
2010-04-11 10:30:00;A;L;1;5;41;13;292;8.25;118.1;315;2;0.0;22;30;30.50666666666667;0;0;2;315;1;315
2010-02-08 12:00:00;N;L;27;43;35;36;90;9.7;118.0;225;7;0.0;19;24;31.249484536082477;0;0;6;225;6;225
2010-02-09 02:36:00;A;L;30;52;36;46;90;9.7;117.9;337;5;0.0;14;36;31.906849315068495;0;0;4;337;4;315
2010-03-01 12:00:00;N;B;17;10;41;33;135;6.6;117.2;157;5;0.0;24;6;30.53278008298755;1.8;0;4;157;5;180
2010-03-12 12:00:00;N;L;30;44;41;33;247;9.5;117.8;202;6;0.0;25;0;30.1824;0;0;5;202;6;225
2010-03-13 12:00:00;N;L;29;36;41;16;0;9.5;117.6;22;4;0.0;4;54;33.20816326530612;0;0;3;22;3;45
2010-03-14 12:00:00;N;L;25;21;39;21;202;9.5;115.7;45;5;0.0;20;42;20.985507246376812;0;0;4;45;4;45
