TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2007-06-20 12:00:00;N;;69;1;9;42;315;10.375;118.2;270;8;11.4;25;0;0
2007-04-06 12:00:00;N;;57;15;39;0;0;9.22;117.1;0;4;14.96;14;30;0
2007-06-20 12:00:00;N;;4;34;57;19;135;9.65;120.0;315;4;13.83;24;0;0
2006-04-15 12:00:00;N;;31;51;41;16;67;6.7;104.0;225;2;13.79;11;0;0
2006-04-16 12:00:00;N;;38;54;43;38;67;6.7;117.9;270;3;15.62;23;0;0
2006-07-02 12:00:00;N;;70;41;52;9;90;7.1;0.0;90;6;0.0;0;0;0
2006-09-30 12:00:00;N;;38;38;14;30;225;8.41;120.0;225;4;0.0;6;30;0
2006-10-01 12:00:00;N;;38;14;20;50;180;7.9;119.8;225;6;0.0;24;0;0
2006-10-02 12:00:00;N;;42;48;24;8;225;8.41;119.8;135;4;0.0;24;0;0
2006-09-03 12:00:00;N;;1;36;36;59;0;10;120.0;0;0;0.0;24;0;0
2006-09-30 12:00:00;N;;7;27;36;18;286;9.7;113.7;270;4;15.06;24;0;0
2006-09-03 14:00:00;N;;12;50;36;14;135;10;119.8;45;3;0.0;24;0;0
2006-10-01 12:00:00;N;;9;45;40;57;0;9.7;117.7;225;5;15.59;24;0;0
2006-02-09 12:00:00;N;;28;17;41;58;0;0;0.0;0;0;0.0;0;0;0
2006-02-10 12:00:00;N;;28;17;41;58;0;9.5;0.0;0;0;0.0;0;0;0
2006-02-11 12:00:00;N;;0;0;0;0;0;9.5;119.8;0;0;14.5;6;42;0
2006-02-12 12:00:00;N;;24;43;37;3;45;9.5;120.0;45;6;13.86;12;42;0
2006-02-12 12:00:00;N;;33;11;42;31;90;7;118.0;135;3;16.2;12;30;0
2006-02-13 12:00:00;N;;41;43;41;17;0;7;119.0;315;3;15.8;23;0;0
2006-02-13 12:00:00;N;;22;25;36;2;202;9.5;120.0;202;5;14.35;11;30;0
2006-07-14 12:00:00;N;;54;50;9;2;202;10.45;110.0;225;8;14.57;24;0;0
2006-07-15 12:00:00;N;;52;47;5;10;202;10.45;113.8;225;7;11.13;24;0;0
2006-07-16 12:00:00;N;;49;2;1;44;202;10.45;118.7;225;4;15.72;24;0;0
2006-07-17 12:00:00;N;;44;38;1;33;247;10.315;117.0;247;4;15.5;24;0;0
2006-07-18 12:00:00;N;;39;3;4;51;247;10.4;118.0;225;4;15.63;24;0;0
2006-10-18 12:00:00;N;;7;23;56;9;216;9.55;117.6;225;4;15.58;13;0;0
