FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
3.05,5.18,41.115963,7.153999999999999,4.358,-1.6059999999999999,4.798,207.844,1.0,158.57
3.63,5.76,36.946087,7.1659999999999995,4.99,-1.0079999999999998,2.1860000000000004,329.36199999999997,0.61,185.49
35.04,34.27,2.251909,14.248000000000001,4.824,-1.4359999999999997,14.501999999999999,2.1719999999999997,2.16,183.28
23.9,22.18,7.76449,10.386,11.462,0.554,9.562,153.084,0.79,280.7
29.02,35.14,17.409147,12.668,4.888,-1.1700000000000002,12.468,275.536,1.12,300.26000000000005
30.76,29.09,5.7325177,11.514,11.437999999999999,0.44400000000000006,16.438,55.388,1.31,349.77
35.79,35.42,1.0328563,13.072,11.53,-0.015999999999999997,15.994,286.882,0.56,90.08
16.15,14.98,7.8465314,9.57,4.869999999999999,-1.704,11.216,329.79400000000004,0.93,32.8
28.45,36.58,22.22617,10.52,11.443999999999999,-0.06200000000000001,22.89,25.874000000000002,3.7299999999999995,129.3
17.48,16.42,6.4846134,11.026,4.362,-2.132,4.078,26.244,1.8,157.96999999999997
23.82,22.75,4.71518,10.392000000000001,11.466,0.558,9.065999999999999,142.14600000000002,0.86,282.26
21.75,20.74,4.8964205,11.284,5.7700000000000005,-1.7419999999999998,10.052,13.866,1.43,203.46
32.39,37.44,13.482031,14.558000000000002,4.51,-1.3519999999999999,11.968,20.624000000000002,0.28,297.01
21.07,19.87,6.009559,11.012,4.8100000000000005,-1.832,9.012,332.18199999999996,1.3,61.92
16.63,14.11,17.84811,10.435999999999998,4.266,-1.886,6.88,91.24199999999999,0.8,174.95
31.53,33.7,6.4267964,11.97,11.523999999999997,-0.014000000000000002,19.658,36.628,0.4600000000000001,114.37
28.38,27.36,3.7372112,11.870000000000001,11.428,0.508,7.314,336.18600000000004,0.95,182.7
21.69,21.6,0.40376627,11.815999999999999,4.31,-2.24,5.59,330.87,0.89,96.15
19.53,17.57,11.171897,10.42,4.843999999999999,-1.7799999999999998,11.434000000000001,317.92999999999995,1.17,76.34
28.79,29.95,3.863642,11.418000000000001,11.426,0.44400000000000006,12.012,111.38,1.34,313.77
39.45,40.32,2.1603184,14.048000000000002,11.529999999999998,0.376,15.902000000000001,33.507999999999996,0.97,268.65
34.25,38.02,9.893769,14.632,4.754,-1.6260000000000001,4.832,187.518,1.32,111.05999999999999
21.93,21.31,2.8874602,11.928,4.305999999999999,-2.246,5.044,330.678,0.9099999999999999,101.74000000000001
32.76,37.15,11.830387,10.534,11.489999999999998,0.092,23.875999999999998,18.448,3.72,275.58000000000004
