FOC,PERC
34.56,27.688398
34.56,25.17349
36.0,30.184778
36.0,28.884846
36.0,27.289188
36.0,27.728027
36.0,29.265785
36.0,31.621748
36.0,30.030325
38.88,34.04578
37.44,31.817696
38.88,35.611748
36.0,30.759165
37.44,32.055084
36.0,29.249287
36.0,29.482782
34.56,25.677273
34.56,23.53938
36.0,31.646845
36.0,30.851757
36.0,29.958015
34.56,26.28837
34.56,27.051014
38.88,35.108124
37.44,31.460608
36.0,30.918169
37.44,33.79393
36.0,32.137947
36.0,30.701494
34.56,29.300705
36.0,29.948393
34.56,28.059933
36.0,32.104458
36.0,29.662582
36.0,29.680538
34.56,26.947662
36.0,29.573044
36.0,30.148119
36.0,29.194641
36.0,28.700987
38.88,36.431858
38.88,35.323162
34.56,26.554441
36.0,29.45866
36.0,29.857477
36.0,31.05511
34.56,29.095354
37.44,32.062958
34.56,25.601673
34.56,28.05978
36.0,33.03558
36.0,30.476654
36.0,30.602848
37.44,31.940893
38.88,35.06273
38.88,34.71682
34.56,25.1199
34.56,27.312778
37.44,32.584484
34.56,26.730087
34.56,27.546728
36.0,32.02347
37.44,32.34543
34.56,26.457552
36.0,29.29872
37.44,35.098763
36.0,31.817532
36.0,31.310665
37.44,33.892822
36.0,29.441181
38.88,36.778156
40.32,40.86917
41.76,42.369286
36.0,33.218018
36.0,34.15964
37.44,34.90227
37.44,35.74125
38.88,37.37319
36.0,31.657118
36.0,33.844036
38.88,38.222797
37.44,35.25713
37.44,34.755222
37.44,35.395317
37.44,34.699123
38.88,35.297565
38.88,35.53983
36.0,32.38037
37.44,34.74255
37.44,35.04323
34.56,28.262854
36.0,28.823895
36.0,30.82501
36.0,30.582556
36.0,29.483858
36.0,30.163065
34.56,28.549995
36.0,30.110497
36.0,32.44739
36.0,28.791195
34.56,27.197489
37.44,32.56649
37.44,32.274536
37.44,34.229156
38.88,35.40566
37.44,34.754215
37.44,36.285515
37.44,34.973957
38.88,38.390854
36.0,31.752363
37.44,33.788162
37.44,31.452465
37.44,33.821743
37.44,35.589973
37.44,34.647877
36.0,33.931206
36.0,31.891155
38.88,35.28955
38.88,36.14303
34.56,28.142933
36.0,31.165016
