Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013411.S-19,15.07.2019 14:40 Z,"51° 30' 22.12"" N","000° 33' 33.10"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.36m/s,088°
AIS.636013411.S-19,15.07.2019 14:34 Z,"51° 30' 22.16"" N","000° 33' 33.13"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.38m/s,088°
AIS.636013411.S-19,15.07.2019 14:31 Z,"51° 30' 22.12"" N","000° 33' 33.11"" E",081°,000.0 kn.,000.6 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.43m/s,088°
AIS.636013411.S-34,15.07.2019 14:31 Z,"51° 30' 22.14"" N","000° 33' 33.11"" E",080°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.43m/s,088°
AIS.636013411.S-19,15.07.2019 14:25 Z,"51° 30' 22.16"" N","000° 33' 33.22"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.45m/s,088°
AIS.636013411.S-19,15.07.2019 14:19 Z,"51° 30' 22.32"" N","000° 33' 33.04"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.46m/s,087°
AIS.636013411.S-19,15.07.2019 14:16 Z,"51° 30' 22.17"" N","000° 33' 33.21"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.46m/s,087°
AIS.636013411.S-19,15.07.2019 14:10 Z,"51° 30' 22.16"" N","000° 33' 33.15"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.44m/s,087°
AIS.636013411.S-19,15.07.2019 14:04 Z,"51° 30' 22.33"" N","000° 33' 33.30"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.41m/s,086°
AIS.636013411.S-19,15.07.2019 14:01 Z,"51° 30' 22.07"" N","000° 33' 33.27"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.41m/s,086°
AIS.636013411.S-19,15.07.2019 13:55 Z,"51° 30' 21.97"" N","000° 33' 32.96"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.39m/s,085°
INC.463702393 (9469.007),15.07.2019 13:52 Z,"51° 30' 21.60"" N","000° 33' 33.60"" E",080°,000.0 kn.,000.3 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.39m/s,085°
