clusters,error,models,partitioners,var
16,3.28508607154,SplineRegressionModeler,KMeansPartitioner,36.2208530844
17,2.64595197997,SplineRegressionModeler,KMeansPartitioner,36.2208530844
18,2.76213012707,SplineRegressionModeler,KMeansPartitioner,36.2208530844
19,2.64595197997,SplineRegressionModeler,KMeansPartitioner,36.2208530844
20,2.90869869158,SplineRegressionModeler,KMeansPartitioner,36.2208530844
21,2.79607533324,SplineRegressionModeler,KMeansPartitioner,36.2208530844
22,2.79607533324,SplineRegressionModeler,KMeansPartitioner,36.2208530844
23,2.90869869158,SplineRegressionModeler,KMeansPartitioner,36.2208530844
24,2.78944812842,SplineRegressionModeler,KMeansPartitioner,36.2208530844
25,2.90869869158,SplineRegressionModeler,KMeansPartitioner,36.2208530844
26,2.6871803624,SplineRegressionModeler,KMeansPartitioner,36.2208530844
27,2.78743261829,SplineRegressionModeler,KMeansPartitioner,36.2208530844
28,2.97507234771,SplineRegressionModeler,KMeansPartitioner,36.2208530844
29,2.31398599938,SplineRegressionModeler,KMeansPartitioner,36.2208530844
1,2.07642260121,LinearRegressionModeler,KMeansPartitioner,36.2208530844
2,8.08581430438,LinearRegressionModeler,KMeansPartitioner,36.2208530844
3,5.4339815159,LinearRegressionModeler,KMeansPartitioner,36.2208530844
4,0.683128216944,LinearRegressionModeler,KMeansPartitioner,36.2208530844
5,1.66000762259,LinearRegressionModeler,KMeansPartitioner,36.2208530844
6,1.67795586052,LinearRegressionModeler,KMeansPartitioner,36.2208530844
7,1.67795586052,LinearRegressionModeler,KMeansPartitioner,36.2208530844
8,1.59343788162,LinearRegressionModeler,KMeansPartitioner,36.2208530844
9,1.67795586052,LinearRegressionModeler,KMeansPartitioner,36.2208530844
10,1.65459429484,LinearRegressionModeler,KMeansPartitioner,36.2208530844
11,1.65459429484,LinearRegressionModeler,KMeansPartitioner,36.2208530844
12,1.65459429484,LinearRegressionModeler,KMeansPartitioner,36.2208530844
13,2.78128062025,LinearRegressionModeler,KMeansPartitioner,36.2208530844
14,2.78128062025,LinearRegressionModeler,KMeansPartitioner,36.2208530844
15,2.82050452306,LinearRegressionModeler,KMeansPartitioner,36.2208530844
16,2.82050452306,LinearRegressionModeler,KMeansPartitioner,36.2208530844
17,2.65345088391,LinearRegressionModeler,KMeansPartitioner,36.2208530844
18,2.78128062025,LinearRegressionModeler,KMeansPartitioner,36.2208530844
19,2.65345088391,LinearRegressionModeler,KMeansPartitioner,36.2208530844
20,2.95593016,LinearRegressionModeler,KMeansPartitioner,36.2208530844
21,2.92049614415,LinearRegressionModeler,KMeansPartitioner,36.2208530844
22,2.92049614415,LinearRegressionModeler,KMeansPartitioner,36.2208530844
23,2.95593016,LinearRegressionModeler,KMeansPartitioner,36.2208530844
24,2.91125894098,LinearRegressionModeler,KMeansPartitioner,36.2208530844
25,2.95593016,LinearRegressionModeler,KMeansPartitioner,36.2208530844
26,6.72623294025,LinearRegressionModeler,KMeansPartitioner,36.2208530844
27,2.90458770584,LinearRegressionModeler,KMeansPartitioner,36.2208530844
28,2.58895734787,LinearRegressionModeler,KMeansPartitioner,36.2208530844
29,2.12887291698,LinearRegressionModeler,KMeansPartitioner,36.2208530844
1,2.64561658031,RandomForestModeler,KMeansPartitioner,36.2208530844
2,2.7809119171,RandomForestModeler,KMeansPartitioner,36.2208530844
3,2.83335751295,RandomForestModeler,KMeansPartitioner,36.2208530844
4,2.81380310881,RandomForestModeler,KMeansPartitioner,36.2208530844
5,2.71954404145,RandomForestModeler,KMeansPartitioner,36.2208530844
6,2.81575129534,RandomForestModeler,KMeansPartitioner,36.2208530844
7,2.87772020725,RandomForestModeler,KMeansPartitioner,36.2208530844
8,2.72279792746,RandomForestModeler,KMeansPartitioner,36.2208530844
9,2.50695336788,RandomForestModeler,KMeansPartitioner,36.2208530844
