,Latitude,Longitude,x,y
43960,33.920533,26.954117,3000518.5792223187,4018136.534264619
43961,37.094217,12.632417,1406234.2279282925,4452247.571270575
43962,17.356932999999998,58.794,6544918.141699726,1962414.0249939905
43963,35.42003300000001,21.658533,2411016.8648893116,4221109.472250624
43964,34.81625,24.685583,2747986.5294950907,4138938.205706508
43965,42.221383,-10.144617,-1129293.5987327867,5194199.446908525
43966,21.616933,59.922667,6670560.777414898,2465595.132366768
43967,53.94605,7.078487,787973.5684268067,7159945.423549601
43968,19.269617,62.640133,6973067.708782933,2186704.809759608
43969,50.064183,-2.519123,-280427.4896056237,6457398.634472536
43970,53.879067000000006,9.140117,1017473.1702309432,7147286.218313152
43971,16.884917,40.990817,4563076.875640262,1907432.8057483903
43972,16.841017,55.949767,6228299.5724423025,1902326.30704763
43973,34.196967,26.241317,2921170.046184873,4055280.6449177917
43974,53.824617,9.361933,1042165.6144007441,7137010.576003839
43975,39.933867,-9.843068,-1095725.3176035658,4856336.660913357
43976,17.68145,59.43075,6615800.8274623435,2000296.2737165464
43977,20.735683,65.620267,7304814.708158653,2360389.3712092075
43978,24.383033,59.1811,6588009.916585803,2800152.2963724528
43979,53.473583,5.0201699999999985,558842.768095668,7071082.944839324
43980,35.20935,23.049833,2565895.6724299933,4192367.4922835287
43981,51.412367,3.024985,336739.7898572907,6694563.39043709
43982,51.33275,2.308155,256942.6392719484,6680365.757330442
43983,52.003217,3.877035,431589.5619876994,6800707.15015875
43984,37.3607,11.73365,1306183.9431464945,4489503.683218569
43985,18.602217,61.289033,6822663.94477214,2108158.925893396
43986,12.908767,48.016667,5345190.920030183,1449311.0269492636
43987,36.24905,19.18795,2135992.823366794,4334944.602694514
43988,50.5191,1.028543,114496.88301898599,6536664.918191645
43989,25.853017,56.828,6326064.022800151,2980887.82889676
43990,37.156867,4.094283,455773.4987235565,4460994.637776467
43991,36.299733,15.902883,1770300.8377050068,4341942.9362306325
43992,26.502883,56.573133,6297692.358140142,3061499.655262446
43993,49.022633,-4.92855,-548643.6763491886,6278702.613494041
43994,36.176367,20.581317,2291101.728294945,4324916.414892281
43995,36.731133,0.779037,86722.00214911946,4401696.163275702
43996,35.881867,18.598817,2070410.8377972802,4284378.6046570875
43997,36.065167,22.69815,2526746.4999493426,4309591.959632086
43998,20.7281,39.077717,4350111.55780365,2359486.790847884
43999,24.753567,66.962583,7454240.641762317,2845506.1030976116
44000,51.519333,2.0662830000000003,230017.57139479773,6713676.988028819
44001,51.3665,2.530292,281670.8169982938,6686381.18272394
44002,24.549217,36.456333,4058300.425750016,2820476.839951275
44003,20.635567,69.72655,7761924.040771731,2348476.517558885
44004,19.273117000000006,70.6956,7869798.193324951,2187117.555786242
44005,44.722533,-9.027772,-1004966.9820377731,5577945.244317389
44006,49.2103,-4.448127,-495163.23262381164,6310620.53129529
44007,47.516567,-6.884314999999999,-766358.4402604951,6026802.3559046
44008,50.38345,-0.731843,-81468.39010062172,6512949.3661391055
44009,35.5303,20.9293,2329839.018659661,4236182.367017222
44010,37.664717,9.342937,1040050.9893536349,4532169.244982132
44011,41.204167,-10.10185,-1124532.7980700308,5042503.05179898
44012,51.380767,2.63921,293795.51329651556,6688925.3921586005
44013,27.257267,34.2696,3814874.421689168,3155650.793681744
44014,24.586633,66.900533,7447333.267358595,2825056.578394895
44015,13.732417000000002,50.998433,5677119.5928148795,1543535.198369077
44016,18.876783,71.463617,7955293.454685529,2140434.46724184
44017,53.6519,4.91505,547140.8632234792,7104504.035379249
44018,15.871982999999998,54.803783,6100729.217105063,1789902.4150361693
44019,36.127267,21.68135,2413556.841710742,4318147.2750004195
44020,31.567633,32.217417,3586426.4551145555,3706688.596171283
44021,12.00885,45.574967,5073382.119360247,1346715.611892146
44022,47.681233,-6.770035000000001,-753636.84885264,6053986.259826923
44023,45.802033,-8.219163,-914953.0399069148,5748681.425788503
44024,50.862383,1.091913,121551.19915055572,6596986.875456621
44025,51.501517,0.6461319999999999,71927.08522523944,6710490.361144476
44026,25.538733,55.0512,6128271.551558663,2942062.3055512835
44027,11.94515,45.338483,5047056.84089949,1339466.7595406377
44028,35.8818,-6.150685,-684691.1222298259,4284369.399334242
44029,53.838733,8.860923,986393.436318406,7139673.222371853
44030,53.87535,7.133914999999999,794143.7851624963,7146584.331779923
44031,36.299667,-4.170595,-464268.5117049728,4341933.819962721
44032,47.32885,-7.056222999999999,-785495.1512837852,5995916.927058089
44033,13.882533,51.135117,5692335.1860944675,1560743.3003163447
44034,18.608217,58.02501700000001,6459315.345711044,2108863.673391259
44035,36.138917,16.930083,1884648.2186478574,4319753.01134038
44036,47.140667,-7.1876050000000005,-800120.5286231872,5965064.808255606
44037,36.6969,0.5357430000000001,59638.63795606078,4396942.345427603
44038,24.8222,57.650583,6417633.543495354,2853921.6511066398
44039,19.2774,70.741517,7874909.650383707,2187622.650991097
