draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
11.29,38.79776585720424,11.15,15.230363072829878,2.47,2019-12-01 16:55:46.488448,40.307053,-9.942436,0.47,357.7477658572043,15.7,179.86223414279576
11.29,29.13722762308811,11.93,15.721162335451943,1.94,2019-12-01 17:55:40.477276,40.568463,-9.943257,0.03,225.1372276230881,15.7,179.8627723769119
11.29,29.13651902075526,11.93,15.721162598431029,1.94,2019-12-01 18:55:34.642902,40.829874,-9.944077,0.03,225.13651902075526,15.7,179.86348097924474
11.29,34.896141096844985,10.8,15.721162738686205,2.06,2019-12-01 19:55:28.971865,41.091285,-9.944898,0.03,225.136141096845,15.7,179.863858903155
11.29,34.89542924420218,10.8,15.721163002866565,2.06,2019-12-01 20:55:23.450589,41.352695,-9.945718,0.03,225.1354292442022,15.7,179.8645707557978
11.29,40.68504387151546,12.43,15.2303639508457,1.68,2019-12-01 21:55:18.106834,41.614106,-9.946539,0.47,357.74504387151546,15.7,179.86495612848455
11.29,49.13449159454893,12.37,15.234406281542782,1.79,2019-12-01 22:55:12.913271,41.875516,-9.94736,0.66,45.13449159454893,15.7,179.86550840545107
11.29,49.13377237960873,12.37,15.234400409633572,1.79,2019-12-01 23:55:07.897563,42.136927,-9.94818,0.66,45.13377237960873,15.7,179.86622762039127
11.29,49.133377193680474,12.37,15.234397183235869,1.79,2019-12-02 00:55:03.046175,42.398338,-9.949001,0.66,45.133377193680474,15.7,179.86662280631953
11.29,64.78259368687893,15.02,15.720686271149429,1.6,2019-12-02 02:08:01.202071,42.716667,-9.95,0.47,92.5225936868789,15.7,179.86740631312108
11.29,64.65,15.02,15.680400401566807,1.6,2019-12-02 03:07:57.008586,42.9781,-9.95,0.47,272.39,15.7,0.0
11.29,64.65,15.02,15.680400401566807,1.6,2019-12-02 04:08:22.333486,43.241667,-9.95,0.47,272.39,15.7,0.0
11.29,34.25586667992401,14.13,15.671090508121315,1.48,2019-12-02 04:57:34.035851,43.428333,-9.805,0.03,15.495866679924017,15.7,29.504133320075983
