FOC_pred,FOC_act,PERC,stw
31.25,29.82,4.79388,13.94
57.39,56.28,1.9702288,16.67
50.42,48.47,4.020818,15.44
95.53,98.39,2.9021554,20.51
30.85,32.53,5.1786127,13.9
65.78,63.8,3.1008885,17.48
75.68,71.11,6.4226174,17.89
69.65,68.44,1.7659528,17.87
61.3,60.51,1.3127451,16.75
41.52,38.6,7.573321,14.79
33.67,34.22,1.6049709,13.58
27.41,29.0,5.481358,13.29
70.93,68.31,3.8356836,17.81
36.29,36.1,0.52267694,13.86
85.21,79.87,6.6855445,19.17
63.95,63.59,0.5607047,17.55
81.98,78.88,3.928374,19.02
91.2,86.59,5.3281,19.5
33.99,34.48,1.4240062,14.35
35.36,33.93,4.211862,14.46
26.5,25.09,5.6055145,13.1
86.93,81.02,7.299472,19.43
38.63,37.77,2.2808294,15.13
25.59,24.5,4.4467382,12.78
63.91,58.13,9.945309,17.38
27.53,27.85,1.1322459,13.03
61.48,59.66,3.0458753,17.3
87.04,83.47,4.272086,19.64
95.31,96.97,1.7157916,20.57
38.9,34.06,14.219603,14.2
61.34,58.8,4.3226943,17.2
96.36,97.34,1.0050282,20.83
75.16,77.47,2.9806833,18.47
26.66,24.2,10.16486,12.96
35.88,37.8,5.068713,14.95
81.35,79.8,1.937541,18.83
91.64,97.07,5.5930843,20.58
29.77,29.36,1.3846662,12.47
25.42,24.51,3.6924589,12.82
86.62,80.0,8.27342,19.5
61.12,58.73,4.061909,17.21
26.25,27.58,4.8378816,12.62
36.1,36.6,1.3632644,14.65
86.48,84.42,2.4442801,19.27
54.36,52.4,3.7401867,16.53
74.29,73.92,0.5039405,18.03
31.09,30.33,2.5196624,13.89
41.08,37.2,10.424163,15.06
29.59,29.87,0.9493513,12.07
75.74,73.77,2.6715708,18.44
43.53,46.82,7.0247707,15.37
86.7,82.38,5.249492,19.41
33.67,35.66,5.5767646,14.58
25.49,22.9,11.305097,12.47
71.77,68.79,4.3326845,17.58
70.46,70.62,0.23351651,17.97
31.49,28.76,9.486765,12.7
59.35,54.22,9.469786,16.73
70.52,69.21,1.894881,17.82
25.2,22.69,11.078425,12.51
61.28,60.91,0.60608655,17.13
59.35,53.8,10.310205,16.72
77.78,77.85,0.09344415,18.37
29.83,25.39,17.490875,12.52
28.88,29.9,3.4079664,13.73
34.06,35.37,3.6972475,13.8
41.58,40.0,3.9415262,15.29
83.64,80.42,4.003668,18.83
25.37,28.65,11.436755,12.42
89.18,80.33,11.019,19.37
24.99,23.14,7.99869,12.62
25.73,24.6,4.6068363,13.05
36.61,37.93,3.4896283,15.05
56.12,55.04,1.9637303,16.75
72.58,71.71,1.2143729,18.23
63.65,59.53,6.9173284,17.3
32.96,34.29,3.8847392,14.4
30.44,32.27,5.6796255,13.94
56.96,53.87,5.733617,16.79
33.69,32.37,4.0836353,14.29
56.17,54.05,3.9231884,16.75
25.46,24.04,5.9189773,12.17
25.03,22.76,9.953326,12.29
38.41,37.4,2.7097304,15.04
63.81,61.78,3.2925136,16.84
67.79,68.24,0.65891856,17.68
62.95,61.48,2.3927298,16.85
59.72,60.17,0.75119805,17.1
24.41,22.33,9.323604,12.17
55.56,53.13,4.576646,16.64
25.54,24.67,3.5236623,12.91
56.24,58.46,3.7972226,16.26
64.09,61.99,3.3946004,16.92
70.99,71.53,0.75723314,17.98
24.73,24.28,1.8518485,12.34
55.79,53.51,4.2561574,16.57
96.06,97.65,1.6294714,20.68
25.5,24.53,3.9546576,12.82
40.11,39.53,1.4649674,15.28
64.29,64.61,0.49451134,17.33
57.61,53.83,7.0261574,16.3
31.51,33.2,5.0948095,14.0
64.27,64.88,0.9434673,17.53
32.5,33.57,3.199448,14.01
55.97,50.46,10.925411,16.67
31.06,32.28,3.782418,14.04
80.26,76.45,4.9873686,18.86
69.29,67.53,2.6135168,17.79
71.12,71.43,0.4284338,18.03
71.91,69.67,3.2092736,17.96
85.55,84.3,1.4774507,18.92
25.61,25.83,0.86815006,12.76
35.09,31.65,10.870917,13.43
29.6,30.23,2.0718677,13.56
24.88,23.53,5.7237563,12.18
42.45,46.31,8.338544,15.35
56.37,52.39,7.593934,16.57
76.0,74.6,1.8715643,18.62
26.8,25.73,4.141304,13.2
39.29,38.87,1.0861534,14.86
32.76,31.26,4.7985926,14.18
25.93,24.19,7.2101564,12.24
28.66,26.2,9.394617,13.02
73.32,71.99,1.8499401,18.08
84.59,77.2,9.572173,18.96
84.55,83.17,1.6602762,19.5
55.35,53.81,2.8610158,16.77
42.6,41.99,1.459878,14.48
80.19,77.1,4.007708,18.3
55.01,50.94,7.9885035,16.51
52.63,51.55,2.0984313,16.45
82.46,80.19,2.8251975,18.74
83.68,80.81,3.545436,19.12
75.56,74.61,1.2768525,18.32
26.45,25.67,3.055889,13.27
34.08,35.63,4.3488836,14.37
31.12,31.0,0.4004817,13.95
27.24,26.43,3.0542762,13.07
62.45,58.7,6.3872137,16.82
56.29,52.93,6.3466816,16.7
44.57,44.84,0.5978883,15.72
41.32,42.9,3.6910884,14.94
69.09,67.1,2.9712,17.45
62.36,62.78,0.6761882,17.29
84.5,82.43,2.5092683,19.18
38.58,35.94,7.343377,14.5
29.68,30.33,2.148896,13.77
83.88,76.87,9.121001,18.87
86.02,81.2,5.9408555,19.39
25.96,25.45,2.0056238,12.79
94.35,92.46,2.0429795,20.04
49.26,42.18,16.78218,15.04
31.67,36.63,13.53728,14.43
26.75,25.05,6.7668014,13.15
89.4,82.88,7.866598,19.28
70.28,72.27,2.7557242,18.0
35.98,35.6,1.0747267,14.61
87.12,79.8,9.172032,19.49
67.99,67.07,1.3716757,17.43
57.69,54.56,5.735351,16.5
63.64,61.96,2.704064,16.87
76.05,72.93,4.2812486,18.21
88.78,81.87,8.436589,19.87
32.69,35.0,6.5960803,14.19
35.54,38.08,6.6778636,14.9
58.62,57.98,1.1052885,16.73
25.65,25.35,1.1996434,12.82
88.3,82.39,7.173381,19.56
74.37,72.57,2.4748695,18.39
67.16,68.64,2.1563487,17.72
53.8,51.16,5.1695185,16.48
71.09,69.23,2.683259,17.81
65.24,65.49,0.3758895,17.66
38.01,37.87,0.36338845,14.91
40.96,36.93,10.925219,15.11
32.46,32.91,1.3610622,14.22
27.44,22.58,21.515265,12.43
73.63,69.43,6.0475726,17.74
