FOC_pred,FOC_act,PERC,stw
30.83,32.65,5.571929,13.44
30.47,30.53,0.20384201,12.98
56.65,58.59,3.319464,16.18
29.52,27.48,7.433461,12.76
34.62,36.78,5.863184,13.68
26.52,26.47,0.19451787,13.49
30.37,28.77,5.5680327,13.1
27.62,27.87,0.890274,12.81
30.86,31.65,2.5060332,13.27
33.52,32.2,4.113985,13.4
37.54,36.5,2.847081,14.26
25.52,28.67,10.973675,12.52
30.8,31.38,1.8375585,13.65
27.28,26.67,2.301255,12.66
28.19,28.32,0.45688814,13.82
52.22,51.72,0.9627538,15.72
48.04,48.5,0.9573632,16.03
52.46,51.73,1.4067185,15.53
35.87,36.18,0.86812305,14.17
36.93,35.39,4.3509755,14.08
34.06,34.19,0.38136932,13.51
37.29,37.37,0.21298812,14.12
29.45,28.27,4.169105,14.11
29.09,27.32,6.4726562,13.87
27.78,27.4,1.387993,12.92
33.57,33.31,0.7659971,13.38
28.19,28.09,0.3638086,12.03
24.19,28.13,14.006856,12.73
30.2,30.46,0.8645312,12.28
33.09,33.27,0.5455005,13.07
32.07,30.86,3.911585,13.15
26.74,27.96,4.360079,13.56
31.93,35.09,9.009143,13.18
29.24,27.99,4.481717,12.56
31.52,31.15,1.1826664,12.89
27.92,26.62,4.8946347,13.86
28.12,29.07,3.2825098,12.54
36.66,36.73,0.19534615,13.99
29.88,28.27,5.6967115,12.6
36.61,34.27,6.834352,14.44
29.87,30.11,0.8109494,12.38
35.78,34.92,2.458131,13.54
30.04,27.69,8.487046,13.7
57.24,54.38,5.257667,16.23
25.5,26.33,3.1527975,13.33
31.46,32.94,4.4991364,13.84
27.58,26.45,4.2835155,12.6
28.23,27.0,4.5403447,13.44
55.93,58.89,5.029927,16.12
37.84,37.8,0.11319963,13.72
28.29,26.57,6.4863853,12.79
36.84,36.96,0.335778,14.02
29.18,28.27,3.2185073,12.71
34.94,33.59,4.019923,12.61
51.12,51.24,0.2370934,16.32
27.8,26.0,6.910515,12.73
36.93,37.27,0.9067147,14.06
29.31,27.4,6.97255,12.59
43.11,43.68,1.3152146,15.53
29.94,26.62,12.485969,12.77
27.1,27.77,2.401398,12.95
32.79,33.29,1.507407,13.32
55.26,55.0,0.46515727,16.67
28.16,27.98,0.63965034,12.97
54.0,53.6,0.7501645,15.5
27.54,27.14,1.4647299,13.44
45.25,45.4,0.3275766,15.76
27.24,27.2,0.14817013,13.91
27.4,26.2,4.597198,13.4
32.36,31.7,2.0798042,13.12
30.29,28.43,6.527077,12.7
34.49,36.76,6.162511,13.76
27.61,26.78,3.1016564,13.45
37.0,38.06,2.7853804,13.97
31.99,31.39,1.9232199,13.22
28.96,29.44,1.6413305,13.02
29.37,27.75,5.8207674,13.59
28.43,28.54,0.37126467,13.49
31.34,28.85,8.637433,12.86
32.49,33.68,3.53769,14.29
30.66,28.09,9.13692,14.12
29.6,27.9,6.101718,13.59
28.28,27.27,3.7048235,12.97
28.71,27.87,3.0028524,13.05
47.29,44.81,5.528706,15.69
45.88,46.16,0.6083847,15.77
31.68,30.71,3.1449265,13.0
55.24,53.78,2.7218554,16.72
27.03,26.15,3.358582,13.63
32.27,30.01,7.545417,13.1
28.48,28.02,1.6249969,12.61
62.64,66.41,5.675254,16.87
60.71,60.91,0.3311979,17.25
56.06,54.07,3.6866891,15.78
33.63,35.24,4.5632176,13.76
29.47,28.08,4.950677,13.63
35.87,34.74,3.2481697,13.43
49.71,50.55,1.6643627,16.06
27.94,27.01,3.4610224,13.02
27.62,27.64,0.061837018,13.66
34.2,33.67,1.5792191,13.59
37.71,36.53,3.2305048,13.97
29.49,30.66,3.8069897,12.26
27.53,26.2,5.0619645,13.12
29.23,28.57,2.3116105,12.95
29.85,28.81,3.625161,13.01
27.8,27.05,2.7773535,13.56
29.58,30.33,2.486238,14.05
29.69,27.86,6.5682693,12.86
32.73,34.0,3.7320528,14.31
28.91,28.1,2.8839586,12.71
46.14,45.49,1.4200753,15.76
33.93,33.8,0.3981167,13.64
37.03,37.2,0.4489345,14.11
27.79,27.2,2.1835213,13.71
29.85,30.27,1.4013624,13.69
31.4,30.73,2.175898,13.11
35.27,35.32,0.1304687,13.77
31.78,29.95,6.109062,13.5
58.81,59.13,0.5485925,17.29
28.63,26.67,7.354456,13.05
34.09,33.38,2.1168253,13.45
34.68,33.97,2.0859218,13.6
29.45,30.3,2.7893999,12.4
28.33,27.67,2.3904104,12.06
27.75,26.67,4.05352,12.64
23.86,26.6,10.312087,12.74
27.63,26.8,3.1104016,13.56
34.8,35.6,2.2610333,13.76
53.48,53.88,0.7507123,16.57
28.88,27.53,4.8920827,13.05
30.07,33.89,11.277867,13.66
33.55,31.63,6.0614915,13.22
57.04,59.7,4.4483776,17.18
48.89,50.45,3.0891485,15.95
29.47,30.03,1.8592172,13.07
31.38,29.58,6.0784197,12.72
35.88,36.93,2.8405395,13.88
27.23,27.1,0.49676928,13.33
28.71,28.81,0.3483477,13.56
43.24,40.46,6.8757043,15.49
34.97,37.4,6.488779,13.79
27.98,26.47,5.717341,13.72
35.15,35.18,0.08307105,13.32
30.74,33.26,7.5670533,13.34
31.67,30.4,4.175682,13.01
34.35,35.07,2.0608284,14.11
37.52,37.14,1.0350628,13.98
36.86,37.59,1.9451101,13.88
27.29,27.61,1.1530099,13.05
30.03,30.34,1.0373864,12.49
34.6,34.08,1.5311285,12.54
29.64,28.47,4.1177692,12.46
27.86,27.27,2.171167,13.72
42.83,41.75,2.5924866,15.37
35.67,37.53,4.9529166,13.52
28.99,28.27,2.5355186,12.36
35.17,33.82,3.9784517,12.49
49.67,50.35,1.3462889,15.56
36.97,37.47,1.336376,14.06
27.65,26.54,4.1856093,13.8
51.09,52.71,3.0790854,15.54
30.52,28.34,7.684017,13.71
28.35,27.77,2.077087,12.62
34.78,34.87,0.2723346,13.7
43.2,43.52,0.7380019,15.44
30.66,27.49,11.543109,13.86
26.87,26.27,2.2902632,13.6
27.72,27.07,2.3967278,13.53
36.33,37.6,3.381506,13.99
27.31,26.53,2.9317522,13.36
26.49,26.1,1.5058335,13.55
35.62,33.52,6.2651505,13.2
36.32,34.3,5.8914056,13.37
45.89,44.71,2.630085,15.77
30.88,32.6,5.262615,13.49
56.38,54.93,2.6386206,16.84
32.47,35.24,7.8675203,13.35
27.89,27.8,0.34147716,13.56
59.93,58.6,2.265084,16.78
36.55,37.13,1.5722655,13.88
27.85,27.2,2.3888772,13.8
29.23,27.67,5.6410646,13.92
28.54,30.05,5.013065,12.58
32.3,34.01,5.0145607,14.28
34.64,33.03,4.88533,13.49
30.86,32.31,4.483745,14.27
28.16,28.5,1.198705,12.46
27.38,26.98,1.4729708,13.66
34.34,33.53,2.411974,13.28
34.33,34.0,0.9640189,13.61
27.07,26.49,2.1744637,13.69
27.48,27.52,0.14329372,13.63
35.66,37.0,3.6290143,14.71
27.13,26.87,0.9753245,12.67
56.49,54.87,2.9604678,16.89
34.98,36.0,2.8303993,14.23
48.78,49.58,1.6233776,16.04
27.16,26.55,2.2917783,12.59
34.12,33.74,1.131995,13.46
29.86,28.77,3.798998,13.69
29.14,26.68,9.23136,13.49
36.09,37.27,3.1709478,13.94
35.38,34.16,3.5618172,13.48
46.62,45.0,3.5977428,15.8
30.29,29.2,3.7471168,13.59
30.07,29.2,2.9801865,13.63
26.48,27.8,4.7519813,12.56
34.96,35.37,1.1527029,13.76
37.36,37.86,1.3156374,13.91
54.41,54.87,0.8348882,16.67
37.96,36.47,4.0867467,14.21
31.75,31.28,1.512275,13.22
28.16,27.68,1.7168894,13.45
31.66,28.75,10.132758,13.54
37.06,33.6,10.30679,14.88
29.78,29.48,1.0241777,12.31
41.75,44.68,6.560818,15.36
29.85,30.2,1.1558406,13.06
31.32,28.58,9.57134,12.88
53.4,52.6,1.5182278,16.55
27.67,26.47,4.520323,13.05
41.24,44.4,7.1088595,15.25
35.4,35.88,1.3265642,13.79
30.71,32.27,4.843016,13.41
35.88,33.9,5.8506765,12.68
29.61,29.42,0.630216,13.16
28.93,28.14,2.8238995,12.75
34.96,35.53,1.5932508,13.78
33.38,33.29,0.25715116,13.13
30.38,28.3,7.363869,13.1
30.0,27.66,8.454016,12.91
27.55,26.14,5.406706,12.68
29.14,29.03,0.36601645,14.0
53.01,52.12,1.7014267,15.39
29.51,29.34,0.59396297,12.39
29.61,30.41,2.6282272,13.4
25.53,27.27,6.3964725,12.97
37.89,37.0,2.4151363,13.73
32.67,32.09,1.8030359,13.4
30.96,28.56,8.40923,12.7
39.13,38.77,0.92607504,14.22
32.7,31.39,4.1867247,13.22
27.87,27.53,1.2231003,12.93
33.51,31.93,4.9511733,13.45
51.05,49.01,4.1528053,15.62
28.72,28.24,1.6910968,12.62
28.37,28.45,0.27518782,13.15
33.89,34.05,0.48403525,13.45
37.71,37.07,1.7356204,13.12
61.12,58.77,4.00551,17.62
30.56,32.63,6.343439,13.34
29.97,27.6,8.600408,13.72
26.91,26.5,1.5308236,13.62
36.23,37.2,2.5969782,13.98
36.29,34.33,5.7231793,13.72
27.54,27.04,1.8463967,13.67
29.5,28.56,3.2821088,12.94
36.01,34.96,2.9911547,14.35
28.72,28.64,0.27115119,12.73
36.93,36.98,0.12738696,14.09
27.04,28.47,5.038871,12.73
29.18,28.01,4.180151,12.96
29.94,30.6,2.1622477,12.99
49.44,49.93,0.985098,16.08
33.46,32.49,2.9997797,12.9
44.63,44.08,1.2431777,15.58
34.39,34.95,1.5994768,13.65
37.85,36.58,3.4637198,14.29
33.7,33.91,0.62174726,12.92
29.77,28.08,6.0310936,12.73
59.73,56.56,5.597819,16.26
36.78,37.63,2.2651272,13.42
62.02,62.4,0.6033824,17.41
33.81,32.46,4.1486654,14.03
31.83,32.13,0.9407865,13.33
26.3,26.23,0.27860525,13.46
28.01,28.13,0.413894,12.31
38.8,37.6,3.1812038,13.76
28.21,27.64,2.0737724,12.06
48.54,51.32,5.4247713,15.98
42.69,42.42,0.6351804,15.38
35.82,38.0,5.7339015,13.86
35.52,35.05,1.337571,14.27
