'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
12.76,189.5,6.64,18.0793964244986,4.03,2019-11-22 17:04:49,39.836263,177.880207,0.03,321.29,18.1028060625993,83.7050183858577
12.76,189.51,6.64,18.0793947874389,4.03,2019-11-22 18:04:49,39.879138,178.268876,0.03,321.3,18.1028060625993,83.7048727428453
12.76,192.86,7.63,17.8367490286579,4.08,2019-11-22 19:04:47,39.922014,178.657545,0.51,4.09,18.1028060625993,83.7050023195859
12.76,206.43,4.62,17.8367506657177,3.92,2019-11-22 20:04:42,39.964889,179.046213,0.03,321.29,18.1028060625993,83.7050183858577
12.76,206.43,4.62,18.0793964244986,3.92,2019-11-22 21:04:36,40.007764,179.434882,0.03,321.29,18.1028060625993,83.7050447036119
12.76,192.9,6.78,18.0916344411779,4.01,2019-11-22 22:00:37,40.047884,179.798578,0.47,90.13,18.1028060625993,87.4779501810273
12.76,140.13,2.42,16.9195238543361,3.83,2019-11-22 23:00:39,40.064323,-179.828203,0.51,0.32,17.1739866796324,87.4779501810273
12.76,140.13,2.42,16.6639946337818,3.83,2019-11-23 00:00:41,40.080762,-179.454984,0.51,0.32,17.1739866796324,87.4779501810273
12.76,140.13,2.42,16.6639946337818,3.83,2019-11-23 01:00:41,40.097201,-179.081765,0.51,0.32,17.1739866796324,87.4779501810273
12.76,53.74,3.25,16.6639946337818,3.64,2019-11-23 02:00:41,40.113640,-178.708546,0.51,0.32,17.1739866796324,87.4779501810273
12.76,31.18,1.34,16.6639946337818,3.64,2019-11-23 03:00:40,40.130079,-178.335327,0.51,0.32,17.1739866796324,87.4779879196609
12.76,31.37,1.34,16.6640007585917,3.64,2019-11-23 04:24:19,40.153008,-177.814756,0.51,0.51,17.1739866796324,87.2923372725454
12.76,335.3,4.53,18.2321021374391,3.52,2019-11-23 05:24:21,40.172297,-177.406893,0.51,0.51,18.7420819336698,87.2924708086184
12.76,335.3,4.53,18.2321021374391,3.52,2019-11-23 06:24:23,40.191585,-176.999031,0.51,0.51,18.7420819336698,87.2923372725454
12.76,335.3,4.53,18.2321021374391,3.52,2019-11-23 07:24:24,40.210874,-176.591168,0.51,0.51,18.7420819336698,87.2924708086184
12.76,334.46,9.69,18.2321021374391,3.41,2019-11-23 08:24:23,40.230162,-176.183306,0.51,0.51,18.7420819336698,87.2923372725454
12.76,334.46,9.69,18.2321021374391,3.41,2019-11-23 09:24:22,40.249451,-175.775443,0.51,0.51,18.7420819336698,87.2924463107743
12.76,1.25,5.68,18.4760505792477,3.52,2019-11-23 10:30:33,40.270741,-175.325251,0.03,317.4,18.7420819336698,87.6048623105969
12.76,358.2,9.84,17.7969513677054,3.29,2019-11-23 11:30:35,40.286983,-174.936941,0.47,90.01,17.807951808775,87.6048684715049
12.76,358.2,9.84,17.8080338392494,3.29,2019-11-23 12:30:37,40.303225,-174.548630,0.47,90.01,17.807951808775,87.6048623105969
12.76,25.06,9.03,17.8079928240122,3.39,2019-11-23 13:30:37,40.319467,-174.160320,0.47,90,17.807951808775,87.6050157650929
