STARTING PORT,DESTINATION PORT,COUNT
istanbul strait , BOSPHOROUS,1
BOSPHOROUS , ISTANBUL STRAIT,1
OPL VARNA , VARNA,1
Agioi Theodoroi , DARDANELLES,1
LA NOUVELLE , MILAZZO,1
VATIKA BAY , Agioi Theodoroi,1
RAVENNA , VATIKA BAY,1
FIUMICINO , Sarroch,1
GENOA , FIUMICINO,1
MESSINA STRAIT , GENOA,1
Tutuncifilik , BOSPHOROUS,1
ALEXANDRIA , ALIAGA,1
Malta (Grand Harbour) , HAIFA,1
Arzew , SARROCH,1
PORTO MARGHERA , DARDANELLES,1
Istanbul , BOSPHOROUS,1
SKIKDA , LA SPEZIA,1
DARDANELLES , BOZCADA,1
SICILY , SICILIAN CHANNEL,1
Zawia , SICILIAN CHANNEL,1
Malta (Grand Harbour) , Zawia,1
DARDANELLES , MARMARA ISLAND,1
BOSPHOROUS ," ISTANBUL,OPL",1
"Cartagena, Spain ", CARTAGENA,1
LA SPEZIA , PIRAEUS,1
GAETA , SKIKDA,1
NOVOROSSIYSK , CONSTANTZA,1
VARNA , NOVOROSSIYSK,1
BOSPHOROUS , DRIFTING IN ISTANBUL,1
DARDANELLES , PIRAEUS,1
GEBZE , DARDANELLES,1
"HAIFA, ISRAEL ", HAIFA,1
SW AGEAN , AT SEA,1
AT SEA , SOUTHWEST AGEAN,1
THESSALONIKI , Agioi Theodoroi,1
Tuapse OPL , Tuapse,1
