TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2009-12-07 12:00:00;N;B;77;41;18;9;341;0;90.0;90;4;15.0;25;0;35
2009-12-21 12:00:00;N;L;118;21;30;12;323;0;90.0;315;3;13.67;24;0;32
2010-02-23 12:00:00;N;L;118;26;30;10;135;0;90.0;45;4;13.61;23;0;32.7
2010-02-24 12:00:00;N;B;114;13;26;40;135;11.1;90.0;315;4;13.65;23;0;32.8
2009-12-14 12:00:00;N;L;89;33;4;37;320;0;90.0;225;4;13.72;25;0;33
2009-12-05 01:00:00;D;B;71;46;32;33;0;0;0.0;0;0;;0;0;22.9
2009-12-17 12:00:00;N;L;101;54;14;48;315;0;90.0;0;4;12.63;24;0;32
2009-12-16 12:00:00;N;L;97;38;11;52;310;0;90.0;0;4;13.96;25;0;33
2009-12-18 12:00:00;N;L;106;24;18;5;315;0;90.0;315;4;13.5;24;0;32
2009-12-19 12:00:00;N;L;110;58;21;33;315;0;90.0;315;4;13.24;25;0;33
2009-12-08 12:00:00;N;B;79;3;13;11;341;0;90.0;45;4;14.92;24;0;33
2009-12-15 12:00:00;N;L;93;52;7;23;310;0;90.0;45;4;12.55;24;0;32
2009-11-16 12:00:00;N;B;91;37;8;23;112;0;87.0;90;3;13.5;24;0;32.1
2009-12-12 02:00:00;D;L;0;0;0;0;0;11.4;0.0;0;0;;0;0;0
2009-12-23 12:00:00;N;L;123;4;37;14;0;0;0.0;0;7;0.0;24;0;32.1
2014-06-03 12:00:00;N;L;80;43;5;36;90;12;83.0;45;3;12.91;23;0;30.1
2009-10-03 12:00:00;N;L;118;41;33;7;0;0;0.0;135;3;0.0;24;0;0
2009-10-04 12:00:00;N;L;118;43;33;10;0;0;0.0;202;5;0.0;24;0;0
2009-12-09 12:00:00;N;B;81;2;7;12;348;0;92.0;135;4;15.24;25;0;35
2009-12-09 18:00:00;A;B;0;0;0;0;90;0;90.0;135;4;14.67;6;0;0
2009-07-11 12:00:00;N;B;102;53;17;10;0;0;0.0;90;3;0.0;24;0;5.7
2009-06-23 12:00:00;N;L;82;0;7;56;270;0;90.0;225;4;14.63;19;0;22.2
2009-07-01 10:00:00;A;L;118;45;33;13;0;11.38;92.1;315;4;14.11;22;0;0
2014-04-19 12:00:00;N;L;38;15;23;25;180;11;87.0;270;3;12.0;4;0;5.7
2010-01-03 12:00:00;N;B;103;16;18;51;135;0;101.0;0;3;16.09;23;0;37
2010-01-03 21:30:00;A;B;102;59;17;10;45;7.35;80.0;0;3;12.23;9;30;13.8
2009-12-22 12:00:00;N;L;121;18;34;15;330;0;90.0;315;7;11.88;24;0;32
2014-06-11 12:00:00;N;L;111;16;10;33;45;12;87.0;45;5;12.21;24;0;34.2
2010-03-27 18:00:00;D;B;95;45;29;20;0;7.25;0.0;0;0;;0;0;5.7
2014-04-20 12:00:00;N;L;40;58;17;13;135;11;87.0;315;3;14.17;24;0;34.2
2010-03-05 12:00:00;D;L;79;58;8;34;0;11.075;0.0;0;0;;0;0;8.9
2010-02-25 12:00:00;N;L;110;5;22;44;135;0;90.0;315;4;13.83;24;0;34.2
2010-02-26 12:00:00;N;L;106;29;18;0;135;11.1;90.0;0;4;13.67;24;0;34.3
2010-03-08 12:00:00;N;L;86;28;23;47;0;0;90.0;90;4;13.88;24;0;32.4
2010-03-09 12:00:00;N;L;90;40;26;53;315;11;90.0;90;4;12.75;24;0;28.4
