stw,draft,foc,ws,wd,swh
13.077,7.3900000000000015,32.4,4,1.02,1.02
13.075,7.3900000000000015,32.4,4,1.02,1.02
13.074000000000002,7.45,32.4,4,1.02,1.02
13.052,7.627499999999999,32.4,4,1.02,1.02
13.050999999999998,7.42,32.4,4,1.02,1.02
14.311,7.42,47.55,2,1.02,1.02
14.748,7.35,48.12,2,1.02,1.02
16.267,7.2650000000000015,68.31,1,1.29,1.29
15.072,7.34,40.1055341055341,4,1.02,1.02
14.921,7.27,39.0,4,1.02,1.02
15.067,7.31,40.0,3,1.29,1.29
15.175999999999998,7.33,41.0,3,1.02,1.02
14.824000000000002,7.314999999999999,41.0,3,1.02,1.02
14.373,7.369999999999999,47.55,3,1.02,1.02
13.205,7.46,31.8,2,1.02,1.02
13.214,7.46,31.8,3,1.29,1.29
13.161,7.449999999999997,31.8,3,1.02,1.02
13.157,7.455,31.8,2,1.02,1.02
13.158,7.455,31.8,2,1.02,1.02
13.168,7.4849999999999985,31.8,3,1.03,1.03
13.168,7.425,31.8,3,1.02,1.02
13.058,7.4,31.8,4,1.02,1.02
13.095999999999998,7.395,31.8,3,1.09,1.09
13.056,7.395,31.8,3,1.02,1.02
12.955,7.43,33.99,3,1.02,1.02
12.895,7.385,33.99,3,1.7,1.7
12.659,7.439999999999999,32.72,2,1.76,1.76
12.554,7.485,32.72,3,1.01,1.01
12.49,7.39,32.72,3,1.7,1.7
12.418,7.385,32.72,3,1.7,1.7
12.286,7.3599999999999985,32.72,3,1.57,1.57
12.216,7.66,29.63,4,1.7,1.7
12.263,7.46,32.72,3,1.7,1.7
12.254,7.4700000000000015,31.19,5,1.7,1.7
12.324000000000002,7.4700000000000015,31.19,4,1.44,1.44
12.316,6.422500000000001,31.19,4,1.7,1.7
12.355,5.51,31.19,4,1.7,1.7
12.392,5.51,31.19,4,1.7,1.7
12.4,5.51,32.72,3,1.7,1.7
12.441,7.505,32.72,3,1.7,1.7
12.476,7.485,32.72,3,1.7,1.7
12.583,7.6975,29.59,4,1.7,1.7
12.671,7.460000000000001,32.72,3,1.01,1.01
12.866,7.43,33.99,3,1.7,1.7
12.856,7.46,33.99,2,1.01,1.01
12.905,7.43,33.99,3,1.7,1.7
12.975,7.445,33.99,3,1.7,1.7
13.064,7.475,31.8,2,1.7,1.7
13.117,7.4,31.8,2,1.7,1.7
13.107,7.43,31.8,3,1.7,1.7
13.067,6.5225,31.8,3,1.7,1.7
12.968,7.449999999999997,33.99,3,1.7,1.7
12.969,7.449999999999997,32.54,4,1.7,1.7
12.873,7.4300000000000015,32.54,4,1.7,1.7
12.775,7.46,33.99,3,0.8,0.8
12.825,7.335,33.99,3,0.8,0.8
12.76,7.449999999999997,33.99,3,0.8,0.8
