stw,draft,foc,ws,wd,swh,vslHeading
12.8008,15.11,34.0,8.75,166.6,0.94,241.9
12.8008,15.09,35.0,8.75,163.71999999999997,0.94,242.08
12.8004,15.205,33.0,6.08,174.78,0.94,241.82
12.8408,15.175,35.0,7.88,165.41,0.94,241.99
12.8802,15.065,34.0,7.88,164.98000000000005,0.94,242.42
12.8205,15.145,34.0,8.07,169.28000000000003,0.94,242.42
12.8205,15.11,34.0,5.98,174.76999999999995,0.94,241.93
12.8011,15.145,34.0,6.08,172.01,0.94,241.59
12.8203,15.205,34.0,7.07,171.87,0.94,242.33
12.8814,15.165,35.0,7.07,170.73000000000005,0.94,243.47
12.8511,15.155,35.0,7.3,174.03,0.94,243.47
12.8511,15.125,34.0,7.17,177.94,0.94,243.26
12.8814,15.085,34.0,10.29,164.73000000000005,0.94,243.07
12.8621,15.19,34.0,9.2,163.18,0.94,243.22
12.8806,15.19,34.0,9.2,163.73000000000005,0.94,242.67
12.8608,15.125,34.0,7.3,164.53000000000003,0.94,242.67
12.8608,15.125,34.0,6.4,159.78000000000003,0.94,242.42
12.811,15.19,34.0,6.69,160.34,0.94,242.66
12.8116,15.185,34.0,7.3,170.63,0.94,242.77
12.8607,15.165,35.0,7.3,170.17000000000004,0.94,243.23
12.9507,15.18,34.0,6.88,168.87,0.94,243.23
12.9507,15.185,34.0,6.98,163.51999999999995,0.94,242.78
12.9313,15.145,33.0,7.07,163.93,0.94,242.87
12.931,15.11,34.0,8.55,162.1,0.94,243.0
12.8809,15.22,34.0,8.55,161.86,0.94,243.24
12.861,15.23,34.0,7.17,162.95999999999995,0.94,243.24
12.861,15.23,34.0,6.59,171.24,0.94,242.96
12.8907,15.235,33.0,7.39,162.45000000000005,0.94,242.95
12.9411,15.11,34.0,7.59,169.64,0.94,243.06
12.9411,15.125,34.0,7.59,169.32,0.94,243.38
12.9811,15.23,34.0,7.68,159.92000000000004,0.94,243.38
12.9811,15.155,34.0,6.59,161.89,0.94,243.21
12.9008,15.12,34.0,6.59,161.32,0.94,242.98
12.8905,15.135,33.0,6.69,162.19,0.94,244.31
12.901,15.16,35.0,6.69,158.58,0.94,247.92
12.9333,15.13,35.0,5.5,154.28000000000003,0.94,247.92
12.9333,15.13,35.0,6.4,157.45,0.94,250.05
12.9217,15.12,34.0,5.37,152.59,0.94,248.51
12.9217,15.18,33.0,8.36,163.29,0.94,247.61
12.9217,15.135,34.0,8.36,163.1,0.94,247.8
12.9211,15.18,33.0,7.49,164.1,0.94,247.8
12.8811,15.16,34.0,7.78,164.11,0.94,248.09
12.8813,15.175,34.0,7.3,160.74,0.94,248.16
12.941,15.2,34.0,7.3,160.85,0.94,248.05
12.941,15.105,34.0,5.98,162.35,0.94,248.05
12.9008,15.105,34.0,5.27,191.27,0.94,247.83
12.9305,15.105,33.0,7.88,152.79999999999995,0.94,247.8
12.9408,15.155,34.0,6.69,155.41000000000003,0.94,247.79
12.9301,15.12,34.0,6.69,155.57999999999996,0.94,247.62
12.9301,15.12,33.0,6.59,157.88,0.94,247.62
12.8801,15.225,34.0,8.07,160.09,0.94,247.51
12.8706,15.155,34.0,7.59,158.52999999999997,0.94,247.77
12.8113,15.155,34.0,8.36,160.57,0.94,248.13
12.851,15.2,34.0,8.36,160.64999999999995,0.94,248.05
12.851,15.175,34.0,7.59,157.95,0.94,248.05
12.8511,15.165,34.0,7.39,159.73000000000005,0.94,248.07
